,image_id,categorical_label,path
0,ISIC_0027419,2,images/HAM10000_images_part_1/ISIC_0027419.jpg
1,ISIC_0025030,2,images/HAM10000_images_part_1/ISIC_0025030.jpg
2,ISIC_0026769,2,images/HAM10000_images_part_1/ISIC_0026769.jpg
3,ISIC_0025661,2,images/HAM10000_images_part_1/ISIC_0025661.jpg
4,ISIC_0031633,2,images/HAM10000_images_part_2/ISIC_0031633.jpg
5,ISIC_0027850,2,images/HAM10000_images_part_1/ISIC_0027850.jpg
6,ISIC_0029176,2,images/HAM10000_images_part_1/ISIC_0029176.jpg
7,ISIC_0029068,2,images/HAM10000_images_part_1/ISIC_0029068.jpg
8,ISIC_0025837,2,images/HAM10000_images_part_1/ISIC_0025837.jpg
9,ISIC_0025209,2,images/HAM10000_images_part_1/ISIC_0025209.jpg
10,ISIC_0025276,2,images/HAM10000_images_part_1/ISIC_0025276.jpg
11,ISIC_0029396,2,images/HAM10000_images_part_2/ISIC_0029396.jpg
12,ISIC_0025984,2,images/HAM10000_images_part_1/ISIC_0025984.jpg
13,ISIC_0025767,2,images/HAM10000_images_part_1/ISIC_0025767.jpg
14,ISIC_0032417,2,images/HAM10000_images_part_2/ISIC_0032417.jpg
15,ISIC_0031326,2,images/HAM10000_images_part_2/ISIC_0031326.jpg
16,ISIC_0025915,2,images/HAM10000_images_part_1/ISIC_0025915.jpg
17,ISIC_0031029,2,images/HAM10000_images_part_2/ISIC_0031029.jpg
18,ISIC_0029836,2,images/HAM10000_images_part_2/ISIC_0029836.jpg
19,ISIC_0032129,2,images/HAM10000_images_part_2/ISIC_0032129.jpg
20,ISIC_0032343,2,images/HAM10000_images_part_2/ISIC_0032343.jpg
21,ISIC_0025033,2,images/HAM10000_images_part_1/ISIC_0025033.jpg
22,ISIC_0027310,2,images/HAM10000_images_part_1/ISIC_0027310.jpg
23,ISIC_0032128,2,images/HAM10000_images_part_2/ISIC_0032128.jpg
24,ISIC_0025937,2,images/HAM10000_images_part_1/ISIC_0025937.jpg
25,ISIC_0027828,2,images/HAM10000_images_part_1/ISIC_0027828.jpg
26,ISIC_0029291,2,images/HAM10000_images_part_1/ISIC_0029291.jpg
27,ISIC_0030698,2,images/HAM10000_images_part_2/ISIC_0030698.jpg
28,ISIC_0025567,2,images/HAM10000_images_part_1/ISIC_0025567.jpg
29,ISIC_0031753,2,images/HAM10000_images_part_2/ISIC_0031753.jpg
30,ISIC_0026835,2,images/HAM10000_images_part_1/ISIC_0026835.jpg
31,ISIC_0031159,2,images/HAM10000_images_part_2/ISIC_0031159.jpg
32,ISIC_0031017,2,images/HAM10000_images_part_2/ISIC_0031017.jpg
33,ISIC_0024981,2,images/HAM10000_images_part_1/ISIC_0024981.jpg
34,ISIC_0027815,2,images/HAM10000_images_part_1/ISIC_0027815.jpg
35,ISIC_0024324,2,images/HAM10000_images_part_1/ISIC_0024324.jpg
36,ISIC_0029559,2,images/HAM10000_images_part_2/ISIC_0029559.jpg
37,ISIC_0030661,2,images/HAM10000_images_part_2/ISIC_0030661.jpg
38,ISIC_0027053,2,images/HAM10000_images_part_1/ISIC_0027053.jpg
39,ISIC_0028560,2,images/HAM10000_images_part_1/ISIC_0028560.jpg
40,ISIC_0031650,2,images/HAM10000_images_part_2/ISIC_0031650.jpg
41,ISIC_0029161,2,images/HAM10000_images_part_1/ISIC_0029161.jpg
42,ISIC_0026273,2,images/HAM10000_images_part_1/ISIC_0026273.jpg
43,ISIC_0025076,2,images/HAM10000_images_part_1/ISIC_0025076.jpg
44,ISIC_0029687,2,images/HAM10000_images_part_2/ISIC_0029687.jpg
45,ISIC_0025642,2,images/HAM10000_images_part_1/ISIC_0025642.jpg
46,ISIC_0025819,2,images/HAM10000_images_part_1/ISIC_0025819.jpg
47,ISIC_0032013,2,images/HAM10000_images_part_2/ISIC_0032013.jpg
48,ISIC_0031691,2,images/HAM10000_images_part_2/ISIC_0031691.jpg
